 Óbitos por causas evitáveis em menores de 5 anos - Pernambuco
Óbitos p/Residênc por Município
Período:2018
"Município";"Óbitos_p/Residênc"
"260845 LAGOA DO CARRO";4
"260850 LAGOA DE ITAENGA";5
"260860 LAGOA DO OURO";3
"260870 LAGOA DOS GATOS";1
"260875 LAGOA GRANDE";3
"260880 LAJEDO";12
"260890 LIMOEIRO";13
"260900 MACAPARANA";3
"260910 MACHADOS";3
"260915 MANARI";10
"260920 MARAIAL";1
"260930 MIRANDIBA";3
"260940 MORENO";10
"260950 NAZARE DA MATA";5
"260960 OLINDA";63
"260970 OROBO";5
"260980 OROCO";4
"260990 OURICURI";17
"261000 PALMARES";11
"261010 PALMEIRINA";3
"261020 PANELAS";4
"261030 PARANATAMA";2
"261040 PARNAMIRIM";5
"261050 PASSIRA";4
"261060 PAUDALHO";10
"261070 PAULISTA";73
"261080 PEDRA";2
"261090 PESQUEIRA";17
"261100 PETROLANDIA";11
"261110 PETROLINA";118
"261120 POCAO";2
"261130 POMBOS";5
"261140 PRIMAVERA";2
"261150 QUIPAPA";4
"261160 RECIFE";267
"261170 RIACHO DAS ALMAS";4
"261180 RIBEIRAO";4
"261190 RIO FORMOSO";7
"261200 SAIRE";5
"261210 SALGADINHO";2
"261220 SALGUEIRO";23
"261230 SALOA";6
"261240 SANHARO";10
"261245 SANTA CRUZ";2
"261247 SANTA CRUZ DA BAIXA VERDE";2
"261250 SANTA CRUZ DO CAPIBARIBE";23
"261255 SANTA FILOMENA";3
"261260 SANTA MARIA DA BOA VISTA";14
"261270 SANTA MARIA DO CAMBUCA";6
"261280 SANTA TEREZINHA";2
"261290 SAO BENEDITO DO SUL";1
"261300 SAO BENTO DO UNA";12
"261310 SAO CAITANO";11
"261320 SAO JOAO";3
"261330 SAO JOAQUIM DO MONTE";5
"261340 SAO JOSE DA COROA GRANDE";6
"261350 SAO JOSE DO BELMONTE";9
"261360 SAO JOSE DO EGITO";8
"261370 SAO LOURENCO DA MATA";18
"261380 SAO VICENTE FERRER";3
"261390 SERRA TALHADA";20
"261400 SERRITA";5
"261410 SERTANIA";5
"261420 SIRINHAEM";8
"261430 MOREILANDIA";2
"261450 SURUBIM";13
"261460 TABIRA";4
"261470 TACAIMBO";5
"261480 TACARATU";4
"261485 TAMANDARE";9
"261500 TAQUARITINGA DO NORTE";11
"261510 TEREZINHA";2
"261530 TIMBAUBA";4
"261540 TORITAMA";17
"261550 TRACUNHAEM";2
"261560 TRINDADE";13
"261570 TRIUNFO";4
"261580 TUPANATINGA";9
"261590 TUPARETAMA";2
"261600 VENTUROSA";6
"261610 VERDEJANTE";3
"261618 VERTENTE DO LERIO";3
"261620 VERTENTES";3
"261630 VICENCIA";5
"261640 VITORIA DE SANTO ANTAO";26
"261650 XEXEU";2
"Total";2005
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
